nc,nd,runmode,nnics,ninst,capture_pkts,drop_pkts,decoder_pkts,decoder_bytes,avg_cpu,max_rss,i,timestamp,trace
1,1,autofp,1,4,568809,0,568808,629148324,138,314684.0,0,1493270694,snort.log
1,1,autofp,1,8,1137618,1842,1135774,1256315469,185,333212.0,0,1493270663,snort.log
1,1,autofp,1,16,2275256,1053590,1221666,1305731757,143,333504.0,0,1493270628,snort.log
1,1,autofp,2,4,1137618,89911,1047707,1150360637,240,384644.0,0,1493307761,snort.log
1,1,autofp,2,8,2275248,1210910,1064338,1074585270,185,382468.0,0,1493307725,snort.log
1,1,workers,1,4,568809,0,568808,629148324,83,315788.0,0,1493305775,snort.log
1,1,workers,1,8,1137617,2337,1133436,1253544538,100,314168.0,0,1493305745,snort.log
1,1,workers,1,16,2275235,1126804,1145498,1180652390,90,314500.0,0,1493305707,snort.log
1,1,workers,2,4,1137616,2129,1133707,1253444332,136,348416.0,0,1493308716,snort.log
1,1,workers,2,8,2275233,911352,1356438,1393445136,142,345880.0,0,1493308684,snort.log
1,2,autofp,1,4,568810,0,568808,629148324,134,318364.0,0,1493270787,snort.log
1,2,autofp,1,8,1137617,0,1137616,1258296648,199,327576.0,0,1493270756,snort.log
1,2,autofp,1,16,2275233,1205568,1069664,1143744534,179,332480.0,0,1493270725,snort.log
1,2,autofp,2,4,1137616,56867,1080749,1190492467,250,381036.0,0,1493307824,snort.log
1,2,autofp,2,8,2275232,1186401,1088831,1101064129,231,381224.0,0,1493307793,snort.log
1,2,workers,1,4,568815,0,568814,629148876,82,317532.0,0,1493305868,snort.log
1,2,workers,1,8,1137620,3985,1133634,1253874600,101,322300.0,0,1493305837,snort.log
1,2,workers,1,16,2275233,1161905,1110090,1142126601,100,316060.0,0,1493305806,snort.log
1,2,workers,2,4,1137616,2142,1135474,1255874546,136,344652.0,0,1493308779,snort.log
1,2,workers,2,8,2275233,928366,1342415,1372531597,143,347568.0,0,1493308747,snort.log
1,4,autofp,1,4,568811,0,568810,629148845,127,319692.0,0,1493270880,snort.log
1,4,autofp,1,8,1137618,0,1137616,1258296648,199,318960.0,0,1493270849,snort.log
